cycle,index,pc,instruction,rd,value
621,168,00000018,00410113,2,00000070
624,169,0000001c,fff18193,3,00000004
627,170,00000020,00018463,0,00000000
630,171,00000024,fe0006e3,0,00000000
635,172,00000010,00012283,5,0000001d
640,173,00000014,005080b3,1,000001b3
643,174,00000018,00410113,2,00000074
646,175,0000001c,fff18193,3,00000003
649,176,00000020,00018463,0,00000000
652,177,00000024,fe0006e3,0,00000000
657,178,00000010,00012283,5,0000001e
662,179,00000014,005080b3,1,000001d1
665,180,00000018,00410113,2,00000078
668,181,0000001c,fff18193,3,00000002
671,182,00000020,00018463,0,00000000
674,183,00000024,fe0006e3,0,00000000
679,184,00000010,00012283,5,0000001f
684,185,00000014,005080b3,1,000001f0
687,186,00000018,00410113,2,0000007c
690,187,0000001c,fff18193,3,00000001
693,188,00000020,00018463,0,00000000
696,189,00000024,fe0006e3,0,00000000
701,190,00000010,00012283,5,00000020
706,191,00000014,005080b3,1,00000210
709,192,00000018,00410113,2,00000080
712,193,0000001c,fff18193,3,00000000
715,194,00000020,00018463,0,00000000
719,195,00000028,fff20213,4,00000003
722,196,0000002c,00020463,0,00000000
725,197,00000030,fc000ce3,0,00000000
729,198,00000008,00000113,2,00000000
732,199,0000000c,02000193,3,00000020
736,200,00000010,00012283,5,00000001
741,201,00000014,005080b3,1,00000211
744,202,00000018,00410113,2,00000004
747,203,0000001c,fff18193,3,0000001f
750,204,00000020,00018463,0,00000000
753,205,00000024,fe0006e3,0,00000000
758,206,00000010,00012283,5,00000002
763,207,00000014,005080b3,1,00000213
766,208,00000018,00410113,2,00000008
769,209,0000001c,fff18193,3,0000001e
772,210,00000020,00018463,0,00000000
775,211,00000024,fe0006e3,0,00000000
780,212,00000010,00012283,5,00000003
785,213,00000014,005080b3,1,00000216
788,214,00000018,00410113,2,0000000c
791,215,0000001c,fff18193,3,0000001d
794,216,00000020,00018463,0,00000000
797,217,00000024,fe0006e3,0,00000000
802,218,00000010,00012283,5,00000004
807,219,00000014,005080b3,1,0000021a
810,220,00000018,00410113,2,00000010
813,221,0000001c,fff18193,3,0000001c
816,222,00000020,00018463,0,00000000
819,223,00000024,fe0006e3,0,00000000
824,224,00000010,00012283,5,00000005
829,225,00000014,005080b3,1,0000021f
832,226,00000018,00410113,2,00000014
835,227,0000001c,fff18193,3,0000001b
838,228,00000020,00018463,0,00000000
841,229,00000024,fe0006e3,0,00000000
846,230,00000010,00012283,5,00000006
851,231,00000014,005080b3,1,00000225
854,232,00000018,00410113,2,00000018
857,233,0000001c,fff18193,3,0000001a
860,234,00000020,00018463,0,00000000
863,235,00000024,fe0006e3,0,00000000
868,236,00000010,00012283,5,00000007
873,237,00000014,005080b3,1,0000022c
876,238,00000018,00410113,2,0000001c
879,239,0000001c,fff18193,3,00000019
882,240,00000020,00018463,0,00000000
885,241,00000024,fe0006e3,0,00000000
890,242,00000010,00012283,5,00000008
895,243,00000014,005080b3,1,00000234
898,244,00000018,00410113,2,00000020
901,245,0000001c,fff18193,3,00000018
904,246,00000020,00018463,0,00000000
907,247,00000024,fe0006e3,0,00000000
912,248,00000010,00012283,5,00000009
917,249,00000014,005080b3,1,0000023d
920,250,00000018,00410113,2,00000024
923,251,0000001c,fff18193,3,00000017
926,252,00000020,00018463,0,00000000
929,253,00000024,fe0006e3,0,00000000
934,254,00000010,00012283,5,0000000a
939,255,00000014,005080b3,1,00000247
942,256,00000018,00410113,2,00000028
945,257,0000001c,fff18193,3,00000016
948,258,00000020,00018463,0,00000000
951,259,00000024,fe0006e3,0,00000000
956,260,00000010,00012283,5,0000000b
961,261,00000014,005080b3,1,00000252
964,262,00000018,00410113,2,0000002c
967,263,0000001c,fff18193,3,00000015
970,264,00000020,00018463,0,00000000
